40;;;90;;;140;;;190;;;240;;;290;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
t (s);V (mV);;t (s);V (mV);;t (s);V (mV);;t (s);V (mV);;t (s);V (mV);;t (s);V (mV)
67.86;4.4614;;68.001;6.2205;;68;2.584;;67.829;7.5104;;67.946;8.4275;;68.183;10.3249
68.86;4.4317;;69;6.2024;;69.001;2.5717;;68.83;7.5024;;68.947;8.4192;;69.183;10.3167
69.861;4.4066;;70.001;6.1857;;70;2.56;;69.829;7.4937;;69.946;8.4112;;70.183;10.3081
70.86;4.3757;;71;6.1788;;71;2.5465;;70.829;7.4841;;70.947;8.4027;;71.182;10.3002
71.86;4.3448;;72;6.1662;;72.001;2.5348;;71.829;7.4748;;71.947;8.3948;;72.182;10.2928
72.861;4.3181;;73.001;6.1511;;73;2.523;;72.829;7.4659;;72.947;8.3866;;73.182;10.285
73.86;4.2999;;74;6.1285;;74;2.5107;;73.83;7.4567;;73.946;8.3784;;74.182;10.277
74.861;4.2748;;75;6.1064;;75.001;2.4993;;74.829;7.4478;;74.947;8.3703;;75.182;10.2692
75.86;4.2452;;76.001;6.0916;;76.001;2.4875;;75.829;7.4389;;75.952;8.3609;;76.182;10.2591
76.861;4.2164;;77.001;6.0717;;77.001;2.4758;;76.829;7.4296;;76.947;8.3546;;77.183;10.2519
77.861;4.2033;;78.001;6.0539;;78.001;2.4635;;77.83;7.4205;;77.947;8.3466;;78.183;10.2449
78.86;4.1719;;79.001;6.0402;;79;2.4512;;78.83;7.4112;;78.946;8.3385;;79.182;10.2363
79.86;4.1396;;80;6.0158;;80;2.4391;;79.829;7.4018;;79.946;8.3309;;80.183;10.2283
80.861;4.1157;;81.001;5.9827;;81;2.4284;;80.83;7.3928;;80.947;8.3223;;81.182;10.2208
81.861;4.0843;;82;5.9775;;82;2.4159;;81.83;7.3859;;81.946;8.3154;;82.182;10.2129
82.861;4.0638;;83.001;5.9638;;83;2.405;;82.829;7.3777;;82.947;8.3076;;83.183;10.2052
