Time,Object Name,Status,Value,Units,Alert ID,Priority
15.02.2024 9:30:24,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:24,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:24,TIC Turbo Power,,7.5,,0,0
15.02.2024 9:30:24,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:24,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:26,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:26,TIC Turbo Power,,7.5,,0,0
15.02.2024 9:30:26,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:26,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:26,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:28,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:28,TIC Turbo Power,,7.0,,0,0
15.02.2024 9:30:28,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:28,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:28,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:30,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:30,TIC Turbo Power,,6.5,,0,0
15.02.2024 9:30:30,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:30,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:30,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:32,TIC Turbo Power,,8.4,,0,0
15.02.2024 9:30:32,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:32,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:32,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:32,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:34,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:34,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:34,TIC Turbo Power,,7.5,,0,0
15.02.2024 9:30:34,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:34,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:36,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:36,TIC Turbo Power,,8.4,,0,0
15.02.2024 9:30:36,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:36,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:36,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:38,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:38,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:38,TIC Turbo Power,,6.8,,0,0
15.02.2024 9:30:38,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:38,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:40,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:40,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:40,TIC Turbo Power,,6.3,,0,0
15.02.2024 9:30:40,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:40,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:42,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:42,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:42,TIC Turbo Power,,7.0,,0,0
15.02.2024 9:30:42,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:43,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:53,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:53,TIC Turbo Power,,8.4,,0,0
15.02.2024 9:30:53,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:53,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:54,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:55,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:55,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:55,TIC Turbo Power,,6.8,,0,0
15.02.2024 9:30:55,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:56,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:57,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:57,TIC Turbo Power,,6.5,,0,0
15.02.2024 9:30:58,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:30:58,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:30:58,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:30:59,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:30:59,TIC Turbo Power,,8.2,,0,0
15.02.2024 9:31:00,TIC Gauge 1,11,1.0000e+05,59,0,0
15.02.2024 9:31:00,TIC Gauge 2,5,9.9000e+09,59,0,0
15.02.2024 9:31:00,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:01,TIC Gauge 3,5,9.9000e+09,59,0,0
15.02.2024 9:31:02,TIC Turbo Speed,,1.6,,0,0
15.02.2024 9:31:02,TIC Turbo Power,,6.5,,0,0
